Lady Mikage | lvl 60 | rank 6 | Mythical
Kurzad Deepheart | lvl 1 | rank 3 | Rare
Kael | lvl 1 | rank 3 | Rare
Judicator | lvl 1 | rank 3 | Rare
Judge | lvl 1 | rank 3 | Rare
Ironclad | lvl 1 | rank 3 | Rare
Ironclad | lvl 1 | rank 3 | Rare
Ironclad | lvl 1 | rank 3 | Rare
Ingid Twyst-staff | lvl 1 | rank 3 | Rare
Hurler | lvl 1 | rank 3 | Rare
Hurler | lvl 1 | rank 3 | Rare
Huntress | lvl 1 | rank 3 | Rare
Huntress | lvl 1 | rank 3 | Rare
Huntress | lvl 1 | rank 3 | Rare
Huntress | lvl 1 | rank 3 | Rare
Hill Nomad | lvl 1 | rank 3 | Rare
Hellfreak | lvl 1 | rank 3 | Rare
Hellfreak | lvl 1 | rank 3 | Rare
Hellfreak | lvl 1 | rank 3 | Rare
Haruspex | lvl 1 | rank 3 | Rare
Haruspex | lvl 1 | rank 3 | Rare
Harrier | lvl 1 | rank 3 | Rare
Harrier | lvl 1 | rank 3 | Rare
Graybeard | lvl 1 | rank 3 | Rare
Graybeard | lvl 1 | rank 3 | Rare
Gravechill Killer | lvl 1 | rank 3 | Rare
Gravechill Killer | lvl 1 | rank 3 | Rare
Grappler | lvl 1 | rank 3 | Rare
Grandmaster | lvl 1 | rank 3 | Rare
Gloril Brutebane | lvl 1 | rank 3 | Rare
Glensage Cithrel | lvl 1 | rank 3 | Rare
Glensage Cithrel | lvl 1 | rank 3 | Rare
Gladiator | lvl 1 | rank 3 | Rare
Gladiator | lvl 1 | rank 3 | Rare
Geargrinder | lvl 1 | rank 3 | Rare
Geargrinder | lvl 1 | rank 3 | Rare
Galek | lvl 1 | rank 3 | Rare
Frozen Banshee | lvl 1 | rank 3 | Rare
Frozen Banshee | lvl 1 | rank 3 | Rare
Fleshmonger | lvl 1 | rank 3 | Rare
Fellhound | lvl 1 | rank 3 | Rare
Executioner | lvl 1 | rank 3 | Rare
Eviscerator | lvl 1 | rank 3 | Rare
Eviscerator | lvl 1 | rank 3 | Rare
Elhain | lvl 1 | rank 3 | Rare
Elhain | lvl 1 | rank 3 | Rare
Elhain | lvl 1 | rank 3 | Rare
Elhain | lvl 1 | rank 3 | Rare
Elhain | lvl 1 | rank 3 | Rare
Elder | lvl 1 | rank 3 | Rare
Doomscreech | lvl 1 | rank 3 | Rare
Doomscreech | lvl 1 | rank 3 | Rare
Dilgol | lvl 1 | rank 3 | Rare
Diabolist | lvl 1 | rank 3 | Rare
Diabolist | lvl 1 | rank 3 | Rare
Denid the Tusk Knight | lvl 1 | rank 3 | Rare
Denid the Tusk Knight | lvl 1 | rank 3 | Rare
Deathchanter | lvl 1 | rank 3 | Rare
Deathchanter | lvl 1 | rank 3 | Rare
Deathchanter | lvl 1 | rank 3 | Rare
Daywalker | lvl 1 | rank 3 | Rare
Cudgeler | lvl 1 | rank 3 | Rare
Cudgeler | lvl 1 | rank 3 | Rare
Crossbowman | lvl 1 | rank 3 | Rare
Courtier | lvl 1 | rank 3 | Rare
Courtier | lvl 1 | rank 3 | Rare
Chopper | lvl 1 | rank 3 | Rare
Chevalier | lvl 1 | rank 3 | Rare
Centurion | lvl 1 | rank 3 | Rare
Centurion | lvl 1 | rank 3 | Rare
Castigator | lvl 1 | rank 3 | Rare
Castigator | lvl 1 | rank 3 | Rare
Candleguard | lvl 1 | rank 3 | Rare
Candleguard | lvl 1 | rank 3 | Rare
Candleguard | lvl 1 | rank 3 | Rare
Candleguard | lvl 1 | rank 3 | Rare
Cagebound | lvl 1 | rank 3 | Rare
Cagebound | lvl 1 | rank 3 | Rare
Cagebound | lvl 1 | rank 3 | Rare
Bulwark | lvl 1 | rank 3 | Rare
Branch-arm Lasair | lvl 1 | rank 3 | Rare
Branch-arm Lasair | lvl 1 | rank 3 | Rare
Boughsmith Flannan | lvl 1 | rank 3 | Rare
Boughsmith Flannan | lvl 1 | rank 3 | Rare
Bloodpainter | lvl 1 | rank 3 | Rare
Bloodpainter | lvl 1 | rank 3 | Rare
Banshee | lvl 1 | rank 3 | Rare
Banshee | lvl 1 | rank 3 | Rare
Banshee | lvl 1 | rank 3 | Rare
Avir the Alchemage | lvl 1 | rank 3 | Rare
Avir the Alchemage | lvl 1 | rank 3 | Rare
Avenger | lvl 1 | rank 3 | Rare
Athel | lvl 1 | rank 3 | Rare
Athel | lvl 1 | rank 3 | Rare
Athel | lvl 1 | rank 3 | Rare
Assassin | lvl 1 | rank 3 | Rare
Assassin | lvl 1 | rank 3 | Rare
Assassin | lvl 1 | rank 3 | Rare
Assassin | lvl 1 | rank 3 | Rare
Ashwalker | lvl 1 | rank 3 | Rare
Ashwalker | lvl 1 | rank 3 | Rare
Anointed | lvl 1 | rank 3 | Rare
Anointed | lvl 1 | rank 3 | Rare
Anointed | lvl 1 | rank 3 | Rare
Acolyte | lvl 1 | rank 3 | Rare
Acolyte | lvl 1 | rank 3 | Rare
Incubus | lvl 16 | rank 2 | Uncommon
Squire | lvl 1 | rank 2 | Uncommon
Sniper | lvl 1 | rank 2 | Uncommon
Skinner | lvl 1 | rank 2 | Uncommon
Pit Fighter | lvl 1 | rank 2 | Uncommon
Lemure | lvl 1 | rank 2 | Uncommon
Duelist | lvl 1 | rank 2 | Uncommon
Duelist | lvl 1 | rank 2 | Uncommon
Commander | lvl 1 | rank 2 | Uncommon
Commander | lvl 1 | rank 2 | Uncommon
Swordsman | lvl 1 | rank 1 | Common
Ranger | lvl 1 | rank 1 | Common
Novitiate | lvl 1 | rank 1 | Common
Lurker | lvl 1 | rank 1 | Common
Hellhound | lvl 1 | rank 1 | Common
Axeman | lvl 1 | rank 1 | Common
